BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
0.818182,95.4,95.4,1000.0,201.802084,139.509787
0.909091,0.0,0.0,7000.0,4103.032597,1072.340217
1.0,773.17,0.0,7500.0,622.066742,627.284787
0.636364,1499.0,0.0,7500.0,0.0,312.343947
1.0,16.0,0.0,1200.0,678.334763,244.791237
1.0,1333.28,1333.28,1800.0,1400.05777,2407.246035
1.0,7091.01,688.38,13500.0,6354.314328,198.065894
1.0,436.2,436.2,2300.0,679.065082,532.03399
1.0,861.49,200.0,7000.0,688.278568,311.963409
0.545455,1281.6,0.0,11000.0,1164.770591,100.302262
1.0,920.12,920.12,1200.0,1083.301007,2172.697765
0.818182,1492.18,0.0,2000.0,705.618627,155.549069
1.0,3217.99,717.76,3000.0,608.263689,490.207013
1.0,2137.93,1717.97,7500.0,1655.891435,251.137986
1.0,0.0,0.0,3000.0,805.647974,989.962866
1.0,1611.7,1611.7,8000.0,1993.439277,2109.90649
0.875,0.0,0.0,3000.0,391.974562,376.579631
0.454545,519.0,519.0,2500.0,254.590662,73.203221
1.0,504.35,338.35,13000.0,1720.837373,744.613395
1.0,398.64,398.64,4000.0,1053.980464,12465.54938
1.0,176.68,176.68,2000.0,223.0686,13557.29726
1.0,6359.95,449.91,11250.0,2077.959051,1659.775075
0.636364,815.9,815.9,1800.0,2359.629958,86.329554
0.818182,4248.35,793.79,9000.0,9479.043842,1425.426525
1.0,0.0,0.0,6000.0,1422.726707,1657.002877
1.0,399.6,399.6,3000.0,215.306142,163.005536
1.0,102.0,0.0,1700.0,890.178845,971.183209
1.0,233.28,233.28,1000.0,207.773715,164.748819
1.0,387.05,182.5,10500.0,1601.448347,1648.851345
1.0,100.0,100.0,6900.0,160.767773,159.684442
1.0,3038.01,2024.81,13000.0,4230.323491,3292.01503
1.0,1347.71,947.71,6000.0,645.998299,256.848991
1.0,324.95,0.0,10500.0,1720.118876,2506.745366
1.0,636.79,0.0,1200.0,423.449696,196.301885
0.727273,547.28,547.28,11000.0,8735.607835,17862.55831
1.0,0.0,0.0,1800.0,351.500199,634.569311
1.0,0.0,0.0,9000.0,1636.361601,1986.843608
1.0,2380.55,738.38,5000.0,1617.894416,1541.141605
1.0,204.0,0.0,9000.0,1237.111661,2049.408839
0.454545,963.24,0.0,7500.0,20071.07544,719.948985
0.727273,0.0,0.0,1800.0,3067.05783,283.333445
0.909091,1526.59,740.29,3000.0,1262.309666,363.142736
1.0,203.82,0.0,4500.0,868.275275,1801.264841
1.0,0.0,0.0,1500.0,378.294227,321.354137
1.0,1525.44,1055.64,8500.0,1430.341501,1318.71492
1.0,437.0,340.0,2400.0,0.0,312.343947
0.5,109.74,109.74,1700.0,176.013005,147.199792
1.0,0.0,0.0,4200.0,0.0,312.343947
1.0,2390.6,987.67,3300.0,2543.953559,175.657825
1.0,507.5,0.0,4000.0,587.866451,286.448719
